1 83.9 86.5 87.15 84.35 368807 
3 85.95 86.65 87.8 86.5 795903 
6 83.3 85.65 85.75 83.3 476142 
9 83.85 84.75 85.35 84.5 304903 
10 84.1 85.05 85.3 84.85 128068 
12 85.3 87.3 87.3 85.3 293853 
14 84.6 86.2 86.35 84.9 154230 
18 84.35 86.5 86.7 85.1 125232 
22 81.9 83.15 87.5 83 698270 
23 82.6 84 85.15 82.6 306130 
24 84.15 85.1 85.85 84.5 319251 
29 82.95 83.7 84.3 83 303991 
33 77.25 79 79.15 78.85 599777 
35 79.25 80.8 81.3 79.6 711296 
36 79.5 80.65 80.75 79.95 295379 
40 76.3 77.25 77.55 76.95 337274 
43 77.15 78.1 78.9 77.15 223506 
44 78.05 79.35 79.7 78.05 256406 
47 77.9 78.85 79.15 77.9 356889 
48 79 80.8 80.85 79.75 372080 
50 81.4 83.5 83.5 82.3 368534 
51 83.45 84.85 85.05 84 531842 
54 85.2 86.4 86.8 85.2 424733 
60 85.75 86.8 87.2 86.1 193611 
61 86 87.55 87.55 86.25 228306 
62 86.7 87.85 87.9 87.4 200274 
63 87.6 88.5 88.8 88 185682 
64 88.45 89.1 89.4 88.5 165739 
65 88.7 89 89.4 88.75 172554 
67 86.85 88.35 88.8 88.05 390193 
68 88.05 89 89.25 88.45 201938 
69 88.45 90.7 91.5 88.95 340296 
70 90.3 91.05 91.45 91 199011 
71 90.85 92.1 92.75 91.1 248649 
74 90.65 91.5 92.75 90.9 239141 
75 90.2 93.1 93.15 91.2 350615 
77 91.9 92.5 92.9 91.9 191376 
81 91 91.65 92.65 91 175415 
84 89.8 90.85 90.95 90.65 109750 
86 90.05 90.3 90.75 90.2 266836 
90 88.1 88.75 88.8 88.3 137438 
93 88.4 88.85 88.9 88.5 86722 
94 88.25 88.85 89.25 88.75 95273 
98 87.7 87.95 88.4 87.7 313832 
99 88 89.5 89.8 88.4 185974 
100 89.45 90.8 90.9 89.65 299683 
102 89.15 90.1 90.1 89.6 89522 
103 89.8 90.15 90.6 89.95 187905 
105 90.5 91.3 91.85 90.6 166511 
112 88.35 89.4 89.9 88.85 298709 
113 89.05 90.15 90.5 89.2 243161 
116 88.3 88.95 89.6 88.85 277095 
117 88.3 88.8 89.45 88.55 483803 
120 88.2 89.4 89.95 88.25 204702 
